Card Number	Card Name
OGN-001/298	Blazing Scorcher
OGN-002/298	Brazen Buccaneer
OGN-003/298	Chemtech Enforcer
OGN-004/298	Cleave
OGN-005/298	Disintegrate
OGN-006/298	Flame Chompers
OGN-007/298	Fury Rune
OGN-007a/298	Fury Rune
OGN-008/298	Get Excited!
OGN-009/298	Hextech Ray
OGN-010/298	Legion Rearguard
OGN-011/298	Magma Wurm
OGN-012/298	Noxus Hopeful
OGN-013/298	Pouty Poro
OGN-014/298	Sky Splitter
OGN-015/298	Captain Farron
OGN-016/298	Dangerous Duo
OGN-017/298	Iron Ballista
OGN-018/298	Noxus Saboteur
OGN-019/298	Raging Soul
OGN-020/298	Scrapyard Champion
OGN-021/298	Sun Disc
OGN-022/298	Thermo Beam
OGN-023/298	Unlicensed Armory
OGN-024/298	Void Seeker
OGN-025/298	Blind Fury
OGN-026/298	Brynhir Thundersong
OGN-027/298	Darius, Trifarian
OGN-027a/298	Darius, Trifarian
OGN-028/298	Draven, Showboat
OGN-029/298	Falling Star
OGN-030/298	Jinx, Demolitionist
OGN-030a/298	Jinx, Demolitionist
OGN-031/298	Raging Firebrand
OGN-032/298	Ravenborn Tome
OGN-033/298	Shakedown
OGN-034/298	Tryndamere, Barbarian
OGN-035/298	Vayne, Hunter
OGN-036/298	Vi, Destructive
OGN-037/298	Immortal Phoenix
OGN-038/298	Kadregrin the Infernal
OGN-039/298	Kai'Sa, Survivor
OGN-039a/298	Kai'Sa, Survivor
OGN-040/298	Seal of Rage
OGN-041/298	Volibear, Furious
OGN-041a/298	Volibear, Furious
OGN-042/298	Calm Rune
OGN-042a/298	Calm Rune
OGN-043/298	Charm
OGN-044/298	Clockwork Keeper
OGN-045/298	Defy
OGN-046/298	En Garde
OGN-047/298	Find Your Center
OGN-048/298	Meditation
OGN-049/298	Playful Phantom
OGN-050/298	Rune Prison
OGN-051/298	Solari Shieldbearer
OGN-052/298	Stalwart Poro
OGN-053/298	Stand United
OGN-054/298	Sunlit Guardian
OGN-055/298	Wielder of Water
OGN-056/298	Adaptatron
OGN-057/298	Block
OGN-058/298	Discipline
OGN-059/298	Eclipse Herald
OGN-060/298	Mask of Foresight
OGN-061/298	Poro Herder
OGN-062/298	Reinforce
OGN-063/298	Spirit's Refuge
OGN-064/298	Wind Wall
OGN-065/298	Wizened Elder
OGN-066/298	Ahri, Alluring
OGN-066a/298	Ahri, Alluring
OGN-067/298	Blitzcrank, Impassive
OGN-068/298	Caitlyn, Patrolling
OGN-069/298	Last Stand
OGN-070/298	Mageseeker Warden
OGN-071/298	Party Favors
OGN-072/298	Solari Shrine
OGN-073/298	Sona, Harmonious
OGN-074/298	Taric, Protector
OGN-075/298	Tasty Faefolk
OGN-076/298	Yasuo, Remorseful
OGN-076a/298	Yasuo, Remorseful
OGN-077/298	Zhonya's Hourglass
OGN-078/298	Lee Sin, Ascetic
OGN-078a/298	Lee Sin, Ascetic
OGN-079/298	Leona, Zealot
OGN-079a/298	Leona, Zealot
OGN-080/298	Mystic Reversal
OGN-081/298	Seal of Focus
OGN-082/298	Whiteflame Protector
OGN-083/298	Consult the Past
OGN-084/298	Eager Apprentice
OGN-085/298	Falling Comet
OGN-086/298	Jeweled Colossus
OGN-087/298	Lecturing Yordle
OGN-088/298	Mega-Mech
OGN-089/298	Mind Rune
OGN-089a/298	Mind Rune
